PUBLIC_RECORD_ID,FACULTY,DEGREE_PROGRAM,CURRICULUM_YEAR,GENDER,AGE,MARITAL_STATUS,ETHNICITY,DISABILITY,INSTITUTION_TYPE,NATIONALITY_COUNTRY,TRANSFER_STUDENT_FLAG,PAYMENT_PLAN,ONLINE_ADMISSION_TYPE,PAYMENT_DEFERRAL_TYPE,SCHOLARSHIP_NAME,TARGET_RISK,REGION
1,Online Undergraduate Faculty,Human Talent Management (ARGOS Agreement),2020,Female,50,Divorced,Mestizo,No,Other,Ecuadorian,No,No,ARGOS Open Public Admission,0.0,Scholarship/Discount - CRM Migration,0,Coastal Region
2,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,46,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
3,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,35,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
4,Online Undergraduate Faculty,Psychology - Organizational Psychology Track - Online,2020,Male,26,Single,Indigenous,No,Other,Ecuadorian,No,No,Full Degree Program,0.0,Institutional Scholarship,1,Coastal Region
5,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,27,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
6,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,32,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
7,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,54,Divorced,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
8,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,54,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Highlands Region
9,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,31,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
10,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,51,Divorced,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Amazon Region
11,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,53,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
12,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,30,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
13,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,43,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
14,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,38,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
15,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,64,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,1,Others/Abroad
16,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,48,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Highlands Region
17,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,41,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
18,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,47,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
19,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,35,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Institutional Scholarship,1,Amazon Region
20,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,40,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
21,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,38,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
22,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,40,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
23,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,36,Cohabiting,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
24,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,39,Divorced,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
25,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,33,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
26,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,39,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
27,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,36,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
28,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,40,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
29,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,36,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
30,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,32,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
31,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,35,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
32,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,36,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
33,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,38,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
34,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,44,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
35,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,43,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
36,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,44,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
37,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,42,Divorced,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
38,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,44,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
39,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,42,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
40,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,40,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
41,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,41,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
42,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,44,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
43,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,34,Cohabiting,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
44,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,42,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
45,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,37,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,1,Coastal Region
46,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,43,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
47,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,40,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
48,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,45,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
49,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,34,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
50,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,37,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,1,Coastal Region
51,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,44,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
52,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,45,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
53,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,53,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
54,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,43,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
55,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,50,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Highlands Region
56,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,48,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
57,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,41,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
58,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,36,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
59,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,52,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
60,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,66,Divorced,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
61,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,31,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,1,Coastal Region
62,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,39,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
63,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,52,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
64,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,48,Divorced,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Highlands Region
65,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,56,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
66,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,53,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
67,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,43,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
68,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,44,Divorced,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
69,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,61,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
70,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,34,Cohabiting,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Highlands Region
71,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,44,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Highlands Region
72,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,54,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Highlands Region
73,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,42,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
74,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,34,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
75,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,43,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Highlands Region
76,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,56,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
77,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,57,Divorced,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,1,Coastal Region
78,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,36,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
79,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,45,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
80,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,54,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Highlands Region
81,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,42,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Amazon Region
82,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,30,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,1,Highlands Region
83,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,57,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
84,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,40,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
85,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,59,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Highlands Region
86,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,50,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
87,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,56,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
88,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,50,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
89,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,45,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
90,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,36,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
91,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,38,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
92,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,39,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
93,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,51,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
94,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,41,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
95,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,42,Divorced,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
96,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,37,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,1,Coastal Region
97,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,48,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
98,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,31,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
99,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,35,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
100,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,37,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,1,Coastal Region
101,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,34,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
102,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,36,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Highlands Region
103,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,37,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Highlands Region
104,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,41,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
105,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,35,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
106,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,37,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
107,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,29,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
108,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,38,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Institutional Scholarship,1,Amazon Region
109,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,36,Married,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
110,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,34,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
111,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,54,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
112,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,42,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,1,Highlands Region
113,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,41,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
114,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,33,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
115,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,54,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
116,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,34,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,1,Coastal Region
117,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,44,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
118,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Female,53,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
119,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,29,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
120,Online Undergraduate Faculty,Education Sciences (Teacher Network),2020,Male,35,Single,Mestizo,No,Other,Ecuadorian,No,Yes,Teacher Network,0.0,Agreement Scholarship,0,Coastal Region
